PUMA 00508 Ancestries >1% of Total Population
American
Brazilian
English
French..except.Basque.
French.Canadian
German
Irish
Italian
Polish
Portuguese
Russian
Scottish
West.Indian..except.Hispanic.groups....Haitian
Unclassified.or.not.reported
Other
