PUMA 00507 Ancestries >1% of Total Population
American
Brazilian
English
European
French..except.Basque.
French.Canadian
German
Irish
Italian
Polish
Portuguese
Russian
West.Indian..except.Hispanic.groups....Haitian
Unclassified.or.not.reported
Other
